,Make,Model,Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,counter,total_pop,fatality_perc,injury_perc,uninjured_perc
220,Mooney,M20,1.0,6.0,8.0,1.0,15.0,16,30.0,20.0,30.0,50.0
87,Cessna,150H,1.0,2.0,7.0,5.0,14.0,17,28.0,7.142857142857142,42.857142857142854,50.0
191,Cirrus,SR22,1.0,84.0,52.0,32.0,166.0,172,334.0,25.149700598802394,25.149700598802394,49.700598802395206
189,Cirrus,SR20,1.0,41.0,14.0,7.0,60.0,64,122.0,33.60655737704918,17.21311475409836,49.18032786885246
177,Cessna,T210N,1.0,9.0,11.0,3.0,22.0,19,45.0,20.0,31.11111111111111,48.888888888888886
229,Piper,J3C,1.0,5.0,10.0,7.0,21.0,27,43.0,11.627906976744185,39.53488372093023,48.837209302325576
226,Mooney,M20M,1.0,9.0,1.0,3.0,12.0,16,25.0,36.0,16.0,48.0
192,Cirrus,SR22T,1.0,7.0,11.0,5.0,21.0,18,44.0,15.909090909090908,36.36363636363637,47.72727272727273
37,Beech,A36,1.0,58.0,24.0,28.0,98.0,98,208.0,27.884615384615387,25.0,47.11538461538461
317,Vans,RV 6,1.0,2.0,5.0,2.0,8.0,10,17.0,11.76470588235294,41.17647058823529,47.05882352941176
57,Bell,407,1.0,35.0,31.0,17.0,73.0,57,156.0,22.435897435897438,30.76923076923077,46.794871794871796
315,Stinson,108-3,1.0,0.0,6.0,2.0,7.0,10,15.0,0.0,53.333333333333336,46.666666666666664
2,Aeronca,7BCM,1.0,1.0,4.0,3.0,7.0,12,15.0,6.666666666666667,46.666666666666664,46.666666666666664
27,Beech,23,1.0,1.0,11.0,4.0,14.0,15,30.0,3.3333333333333335,50.0,46.666666666666664
224,Mooney,M20J,1.0,34.0,17.0,17.0,59.0,66,127.0,26.77165354330709,26.77165354330709,46.45669291338583
251,Piper,PA-22-135,1.0,4.0,2.0,7.0,11.0,12,24.0,16.666666666666664,37.5,45.83333333333333
262,Piper,PA-28-180,1.0,20.0,25.0,7.0,44.0,50,96.0,20.833333333333336,33.33333333333333,45.83333333333333
52,Bell,206,1.0,51.0,37.0,7.0,79.0,77,174.0,29.310344827586203,25.287356321839084,45.40229885057471
294,Piper,PA38,1.0,6.0,2.0,3.0,9.0,12,20.0,30.0,25.0,45.0
206,Flight Design Gmbh,CTLS,1.0,4.0,9.0,3.0,13.0,19,29.0,13.793103448275861,41.37931034482759,44.827586206896555
222,Mooney,M20E,1.0,18.0,5.0,3.0,21.0,26,47.0,38.297872340425535,17.02127659574468,44.680851063829785
306,Ryan,NAVION,1.0,5.0,3.0,7.0,12.0,11,27.0,18.51851851851852,37.03703703703704,44.44444444444444
